Gene,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20
Gene_1,6.496714153011233,5.861735698828816,6.6476885381006925,7.523029856408026,5.765846625276664,5.765863043050819,7.5792128155073915,6.7674347291529084,5.530525614065048,6.542560043585965,5.3215052695127785,5.6945005369463475,5.402618938954857,6.110418046946119,7.197178531461913,5.2289578428587955,7.000820497768414,5.218327927653112,5.152372787503116,6.818594618343213
Gene_2,5.536582307187538,5.5342702464297435,6.241962271566035,4.086719755342202,4.275082167486968,5.437712470759028,4.987168879665576,6.314247332595274,5.091975924478789,4.587696298664708,6.921936378007617,6.851409936762654,4.684202591781859,5.534049021927949,6.8229885920033215,6.0415418405638945,4.926307153802536,6.4583179391254415,5.2851927410085295,7.7945248483922125
Gene_3,7.465648768921554,5.774223699513464,6.067528204687924,4.575251813786544,5.455617275474817,6.110922589709866,4.849006422577697,6.3756980183456715,5.399361310081195,5.708306250206723,7.544841462418258,6.604097426355567,7.361006704769774,6.064791350123381,6.765437494375016,7.477720295302075,6.245498681794313,5.744812828485716,4.295378041822884,5.916866474278506
Gene_4,5.398293387770603,7.852278184508938,5.986502775262066,4.942289071044099,6.822544912103189,4.779156350028978,6.208863595004756,4.040329876120224,4.671813951101569,6.1968612358691235,6.823423184562311,6.945633428,6.504365066,5.458700905037761,4.0231784310524095,5.504784901995265,5.695655128946049,5.687071032809986,6.618556356977924,7.985676411
Gene_5,6.738466579995411,6.171368281,5.884351718,5.698896304410711,4.521478009632572,5.280155791605291,5.539361229040212,7.057122226218915,6.343618289568461,4.236959844637266,6.123529201841093,5.783268210843539,5.740778186995907,6.124384766907714,5.171706239651601,6.120198558746055,6.450812336,6.209686063574488,6.457541934004781,6.4337476093485355
Gene_6,6.3240839693947954,5.6149177195836835,5.323077999694041,6.611676288840868,7.030999522495951,6.931280119116199,5.160782476777362,5.690787624148785,6.331263431403564,6.975545127122359,5.893429953119595,8.416351084,7.1931363786416505,6.827088465,6.448202798,8.309270504417492,8.204227852,6.242612214890635,8.655631294301196,6.540200163691665
Gene_7,5.520825762,5.8143410233361825,4.893665025993972,4.803793375919329,6.812525822394198,7.356240028570823,5.927989878419666,7.003532897892024,6.361636025047634,5.354880245394876,6.139821358518211,6.2384989256730545,6.885577081695045,7.781684786466851,4.635323674099459,5.947526144,5.723664704955783,6.433749685960962,6.215668770933618,5.647453757
Gene_8,6.361395605508414,7.538036566465969,5.964173960890048,7.564643655814006,3.3802548959102556,6.821902504375224,6.087047068238172,5.7009926495341325,6.091760776535502,4.012431085399108,5.559097811389145,4.8835491448159525,6.987861582406509,6.459204181599529,6.917768197795137,5.6896038635244865,5.343164531,4.921684933370772,6.358917583740659,4.960206775471765
Gene_9,5.780328112162488,6.357112571511746,7.477894044741516,5.481729781726353,5.191506397106813,5.498242956415464,6.915402117702074,6.3287511096596845,5.470239796232962,6.513267433113356,7.848663069,4.6923574189065596,6.273660119212502,7.566854707213786,6.599089759263809,6.175673712491779,5.031516353038104,4.618230811432296,6.7700501089175855,7.506147240774947
Gene_10,6.0970775493480405,6.968644990532889,5.297946906122648,5.672337853402232,5.607891846867842,4.536485051867881,6.296120277064576,6.261055272179889,6.005113456642461,5.765412866624853,5.561150009521828,4.860938492383649,3.5418305694509815,5.019235156337462,5.886343158,7.599123240836734,6.673133692232969,6.305085404706753,5.599880338698869,5.416834282744044
Gene_11,4.584629257949586,5.579354677234641,5.657285483,5.197722730778381,5.838714288333991,6.404050856814538,7.886185901,6.174577812831839,6.2575503907227645,5.925554084233832,9.415791106,7.8692869920265345,5.525321527906884,7.388723514409676,7.710237481894181,7.169878150024685,8.276693299143039,7.525433908587054,7.8554680051952115,9.018680247705216
Gene_12,4.081228784700959,5.973486124550783,6.060230209941026,8.463242112485286,5.807639035218878,6.301547342333612,5.965288230294757,4.831321962380468,7.1428228145150205,6.751933032686774,5.3035389102133115,7.864199526,5.328692408628914,6.089198196612571,5.718796404597233,6.123419133500961,6.444591995073129,6.433835240088877,5.246882669,4.877085322552429
