User_ID,Region,Language_Preference,Subscription_Plan,Device_Type,Avg_Watch_Hours,Tenure_Months
1001,West India,Kannada,Standard,Mobile,2.4,11
1002,Northeast India,Kannada,Premium,Mobile,2.1,46
1003,East India,Bengali,Mobile,Smart TV,2.7,22
1004,Northeast India,Malayalam,Basic,Mobile,3.0,23
1005,Northeast India,Telugu,Standard,Smart TV,5.5,12
1006,South India,Bengali,Premium,Mobile,5.0,21
1007,East India,Bengali,Mobile,Mobile,2.8,19
1008,East India,Telugu,Mobile,Mobile,4.0,5
1009,East India,Malayalam,Mobile,Tablet,3.4,24
1010,Northeast India,Malayalam,Mobile,Mobile,3.8,30
1011,West India,Kannada,Premium,Mobile,2.8,8
1012,East India,Bengali,Standard,Mobile,6.2,2
1013,Northeast India,Bengali,Standard,Smart TV,5.7,34
1014,South India,Punjabi,Basic,Laptop,3.1,23
1015,West India,Marathi,Standard,Mobile,2.8,3
1016,South India,Bengali,Mobile,Smart TV,4.6,24
1017,West India,Tamil,Basic,Laptop,2.0,18
1018,Northeast India,Marathi,Basic,Smart TV,4.5,47
1019,North India,Tamil,Mobile,Tablet,3.7,37
1020,West India,Malayalam,Basic,Laptop,1.8,31
1021,South India,Marathi,Basic,Mobile,3.3,14
1022,Northeast India,Bengali,Mobile,Smart TV,2.7,1
1023,West India,Telugu,Mobile,Smart TV,3.7,14
1024,North India,Kannada,Standard,Smart TV,3.6,41
1025,North India,Tamil,Mobile,Smart TV,1.9,5
1026,East India,Marathi,Premium,Mobile,3.1,31
1027,East India,Bengali,Mobile,Tablet,4.2,31
1028,South India,Marathi,Standard,Mobile,4.4,30
1029,West India,Bengali,Premium,Mobile,3.1,36
1030,West India,Bengali,Premium,Mobile,4.0,1
1031,East India,Bengali,Premium,Laptop,3.8,3
1032,West India,Punjabi,Mobile,Smart TV,3.4,20
1033,West India,Kannada,Basic,Mobile,4.1,43
1034,North India,Telugu,Basic,Laptop,2.4,43
1035,East India,Telugu,Mobile,Laptop,3.5,21
1036,Northeast India,Marathi,Mobile,Tablet,1.6,30
1037,East India,Marathi,Premium,Laptop,3.4,42
1038,Northeast India,Bengali,Basic,Smart TV,5.2,44
1039,North India,Punjabi,Standard,Mobile,3.1,30
1040,South India,Bengali,Premium,Smart TV,5.1,5
1041,West India,Punjabi,Standard,Mobile,3.1,10
1042,North India,Bengali,Standard,Mobile,2.2,24
1043,West India,Tamil,Standard,Mobile,4.3,45
1044,South India,Tamil,Mobile,Tablet,4.1,39
1045,South India,Malayalam,Basic,Mobile,6.3,6
1046,North India,Bengali,Premium,Mobile,2.3,10
1047,South India,Kannada,Premium,Smart TV,3.9,42
1048,Northeast India,Malayalam,Premium,Laptop,4.0,43
1049,South India,Marathi,Basic,Smart TV,4.8,10
1050,West India,Bengali,Premium,Smart TV,4.1,25
1051,West India,Tamil,Mobile,Smart TV,3.2,14
1052,West India,Punjabi,Mobile,Mobile,2.2,47
1053,West India,Kannada,Basic,Smart TV,3.9,39
1054,Northeast India,Bengali,Basic,Tablet,3.9,13
1055,East India,Telugu,Mobile,Tablet,4.3,11
1056,North India,Telugu,Basic,Tablet,3.2,39
1057,West India,Punjabi,Mobile,Smart TV,3.8,11
1058,South India,Malayalam,Basic,Tablet,1.6,46
1059,West India,Telugu,Standard,Tablet,2.3,16
1060,South India,Malayalam,Standard,Tablet,4.6,33
1061,South India,Tamil,Mobile,Mobile,3.7,41
1062,West India,Bengali,Basic,Laptop,4.1,41
1063,Northeast India,Tamil,Standard,Smart TV,2.8,32
1064,South India,Tamil,Basic,Laptop,2.6,10
1065,South India,Gujarati,Basic,Smart TV,3.0,15
1066,West India,Hindi,Standard,Mobile,3.8,16
1067,South India,Kannada,Premium,Tablet,4.3,43
1068,South India,Malayalam,Mobile,Mobile,3.2,27
1069,West India,Gujarati,Basic,Smart TV,1.5,45
1070,West India,Hindi,Basic,Tablet,4.0,32
1071,North India,Kannada,Basic,Tablet,3.8,6
1072,Northeast India,Malayalam,Mobile,Smart TV,4.1,47
1073,Northeast India,Bengali,Mobile,Laptop,4.5,36
1074,South India,Kannada,Mobile,Mobile,4.4,8
1075,Northeast India,Tamil,Premium,Mobile,5.1,25
1076,South India,Hindi,Standard,Smart TV,3.5,7
1077,North India,Hindi,Standard,Smart TV,3.0,17
1078,West India,Hindi,Standard,Smart TV,4.7,30
1079,West India,Malayalam,Mobile,Smart TV,4.6,2
1080,West India,Kannada,Premium,Tablet,3.2,17
1081,Northeast India,Tamil,Basic,Mobile,4.8,4
1082,North India,Gujarati,Basic,Laptop,3.6,26
1083,Northeast India,Bengali,Standard,Laptop,5.0,14
1084,Northeast India,Telugu,Standard,Smart TV,5.6,8
1085,North India,Gujarati,Standard,Tablet,6.7,5
1086,North India,Tamil,Mobile,Laptop,3.6,5
1087,North India,Telugu,Premium,Mobile,5.2,5
1088,North India,Telugu,Premium,Smart TV,4.5,27
1089,West India,Hindi,Basic,Laptop,4.6,5
1090,East India,Marathi,Mobile,Laptop,4.0,3
1091,East India,Tamil,Mobile,Laptop,4.6,38
1092,North India,Hindi,Premium,Smart TV,1.9,30
1093,East India,Tamil,Basic,Smart TV,3.5,1
1094,East India,Marathi,Basic,Mobile,2.7,8
1095,North India,Bengali,Mobile,Mobile,2.6,13
1096,East India,Marathi,Mobile,Smart TV,1.8,20
1097,Northeast India,Punjabi,Standard,Mobile,2.9,6
1098,South India,Gujarati,Basic,Mobile,3.3,8
1099,South India,Hindi,Premium,Laptop,3.7,30
1100,North India,Gujarati,Standard,Mobile,3.5,40
1101,West India,Punjabi,Standard,Mobile,4.8,15
1102,North India,Marathi,Mobile,Laptop,2.4,10
1103,West India,Malayalam,Mobile,Tablet,1.2,33
1104,South India,Marathi,Basic,Smart TV,4.1,9
1105,North India,Marathi,Basic,Smart TV,3.4,33
1106,Northeast India,Punjabi,Mobile,Tablet,3.4,9
1107,East India,Bengali,Premium,Mobile,2.6,14
1108,West India,Tamil,Basic,Laptop,4.6,32
1109,East India,Punjabi,Mobile,Mobile,3.0,37
1110,East India,Tamil,Mobile,Smart TV,2.4,6
1111,North India,Punjabi,Mobile,Mobile,5.5,5
1112,East India,Tamil,Premium,Mobile,4.3,4
1113,Northeast India,Gujarati,Mobile,Mobile,3.5,16
1114,East India,Punjabi,Basic,Smart TV,0.6,10
1115,North India,Punjabi,Standard,Tablet,3.2,31
1116,Northeast India,Punjabi,Mobile,Mobile,3.5,31
1117,South India,Tamil,Mobile,Mobile,5.3,14
1118,East India,Bengali,Mobile,Laptop,1.4,13
1119,North India,Kannada,Basic,Mobile,5.4,4
1120,South India,Tamil,Mobile,Laptop,4.0,46
1121,South India,Hindi,Mobile,Tablet,2.1,26
1122,West India,Telugu,Standard,Mobile,4.6,24
1123,Northeast India,Bengali,Mobile,Mobile,3.2,9
1124,East India,Gujarati,Standard,Tablet,1.5,35
1125,North India,Marathi,Standard,Smart TV,3.0,42
1126,West India,Tamil,Basic,Smart TV,3.8,15
1127,Northeast India,Punjabi,Basic,Tablet,3.6,24
1128,West India,Tamil,Mobile,Laptop,4.3,31
1129,Northeast India,Malayalam,Standard,Tablet,4.8,19
1130,Northeast India,Bengali,Standard,Smart TV,2.2,2
