Order_ID,Customer_ID,Restaurant_Name,Food_Category,Order_Amount,Delivery_Time_Minutes,Payment_Mode,Customer_Rating,Promo_Used,Order_Date,Delivery_Area
4582,102,PizzaHub,Taco,500,40,Wallet,3,Yes,1/25/2023,Zone 2
4454,467,Biryani Hause,Pizza,200,25,Card,2,No,3/19/2023,Zone 3
2346,800,Taco Land,Biryani,150,45,Card,5,No,1/17/2023,Zone 1
5060,461,Biriyani Hause,Burger,500,30,Wallet,3,No,2/24/2023,Zone 3
2593,240,BiryaniHouse,Sushi,150,45,Wallet,3,Yes,3/19/2023,Zone 1
1096,851,Pizza Hub,Biryani,150,30,Card,3,No,1/7/2023,Zone 1
5143,882,BurgerTown,Burger,300,45,Cash,5,Yes,1/25/2023,Zone 1
5169,792,Biryani House,Biryani,500,25,Card,2,No,2/22/2023,Zone 2
1942,426,Pizza Hub,,500,20,Cash,4,No,1/23/2023,Zone 2
1111,654,PizzaHub,Pizza,500,20,Wallet,5,No,2/12/2023,Zone 3
4481,600,Sushi Place,Burger,150,40,Wallet,3,No,1/22/2023,Zone 2
2363,882,Taco Land,Biryani,300,40,Card,2,Yes,3/18/2023,Zone 2
3894,878,Biryani Hause,Pizza,250,35,Wallet,3,Yes,2/22/2023,Zone 2
4325,706,Pizza Hub,Biryani,500,35,Card,3,No,1/20/2023,Zone 1
2092,422,Burger Town,Biryani,200,40,Cash,6,Yes,3/24/2023,Zone 1
2847,110,Tacoland,Sushi,500,50,Card,2,No,3/4/2023,Zone 1
5547,742,BiryaniHouse,Pizza,300,25,Card,2,No,3/28/2023,Zone 3
3050,573,Taco Land,Pizza,300,45,Wallet,1,No,3/2/2023,Zone 3
1039,626,BurgerTown,Biryani,150,30,Wallet,1,Yes,2/3/2023,Zone 2
2346,321,Burger Town,Biryani,500,25,Cash,3,No,2/28/2023,Zone 2
2159,390,BiryaniHouse,Sushi,200,20,Wallet,,No,1/21/2023,Zone 3
2897,641,Taco Land,Burger,200,45,Cash,4,No,1/16/2023,Zone 1
5195,932,Biryani House,Biryani,500,50,Cash,1,Yes,1/9/2023,Zone 3
3428,922,Biriyani Hause,Burger,300,20,Cash,2,No,2/21/2023,Zone 2
4252,797,Biryani Hause,Biryani,200,30,Wallet,1,No,1/1/2023,Zone 3
2382,507,Taco Land,Pizza,200,20,Wallet,3,No,2/16/2023,Zone 1
4937,152,BiryaniHouse,,500,20,Cash,1,No,2/5/2023,Zone 3
5309,366,Biriyani Hause,Sushi,200,25,Card,1,Yes,1/3/2023,Zone 3
4702,747,Pizza Hub,Sushi,300,50,Card,1,Yes,3/10/2023,Zone 3
5958,140,Pizza Hub,Burger,150,30,Cash,2,No,2/12/2023,Zone 2
3338,236,Tacoland,Burger,300,45,Card,4,No,3/17/2023,Zone 2
1588,195,Sushi Place,Pizza,150,40,Cash,3,No,2/16/2023,Zone 3
2704,650,SushiPlace,Sushi,,30,Card,2,No,2/12/2023,Zone 3
4971,660,BurgerTown,Burger,200,20,Card,1,Yes,3/17/2023,Zone 3
5202,792,Taco Land,Burger,250,25,Wallet,4,Yes,3/21/2023,Zone 3
1837,982,Biryani House,Sushi,500,30,Card,3,Yes,1/16/2023,Zone 3
3624,544,Biryani House,Burger,300,25,Cash,1,Yes,2/24/2023,Zone 1
5939,690,Burger Town,Burger,500,35,Cash,2,Yes,2/25/2023,Zone 3
2442,870,Biryani Hause,,250,25,Cash,3,No,2/17/2023,Zone 3
1826,495,Biryani Hause,Biryani,300,,Cash,4,No,2/12/2023,Zone 1
2418,563,Tacoland,Biryani,200,50,Card,3,Yes,1/23/2023,Zone 3
4862,103,Pizzahub,Taco,,30,Wallet,6,No,3/14/2023,Zone 2
5242,843,Pizzahub,Biryani,250,20,Wallet,2,Yes,3/24/2023,Zone 2
5507,520,SushiPlace,Pizza,150,25,Card,5,No,1/14/2023,Zone 1
2789,258,Pizza Hub,Sushi,200,25,Wallet,4,Yes,2/7/2023,Zone 2
4252,968,Pizzahub,Pizza,,35,Wallet,10,No,3/22/2023,Zone 2
2389,990,Biryani Hause,Sushi,500,40,Card,4,No,3/7/2023,Zone 2
1371,490,Biryani Hause,Sushi,500,45,Cash,5,No,2/14/2023,Zone 3
4226,475,Burger Town,Pizza,250,45,Card,4,No,1/29/2023,Zone 1
3768,781,BurgerTown,Taco,500,25,Wallet,4,Yes,1/13/2023,Zone 3
1390,822,Pizzahub,Sushi,150,20,Cash,3,Yes,2/27/2023,Zone 1
1255,624,BiryaniHouse,Taco,150,50,Wallet,3,Yes,1/11/2023,Zone 1
4316,598,Pizzahub,Burger,300,20,Card,2,Yes,1/12/2023,Zone 3
5455,598,Pizza Hub,Sushi,200,50,Wallet,4,No,1/8/2023,Zone 3
5043,361,Burger Town,Biryani,150,25,Wallet,3,Yes,3/11/2023,Zone 2
1950,761,Biriyani Hause,Burger,300,45,Card,2,No,3/1/2023,Zone 1
2153,195,Sushi Place,Pizza,300,45,Card,5,Yes,3/28/2023,Zone 1
1555,926,BiryaniHouse,Biryani,150,30,Wallet,1,No,1/12/2023,Zone 2
4258,901,Taco Land,Burger,500,45,Cash,3,Yes,3/3/2023,Zone 2
2381,637,BurgerTown,Pizza,150,45,Card,3,Yes,3/16/2023,Zone 3
1695,918,Burger Town,Pizza,300,20,Cash,4,No,3/14/2023,Zone 3
3004,436,Biryani House,Burger,200,35,Cash,2,No,2/2/2023,Zone 2
2329,605,Biryani Hause,Biryani,150,50,Wallet,4,No,1/4/2023,Zone 1
5626,277,Taco Land,Burger,200,,Wallet,5,Yes,2/1/2023,Zone 3
4537,429,Sushi Place,Taco,200,,Cash,2,No,2/14/2023,Zone 3
2537,526,SushiPlace,Burger,500,25,Card,4,No,2/2/2023,Zone 1
3011,263,Biriyani Hause,Sushi,500,50,Card,6,Yes,3/18/2023,Zone 3
1342,253,Taco Land,Taco,500,20,Cash,1,No,2/10/2023,Zone 1
5235,240,Sushi Place,Burger,300,45,Wallet,2,No,2/5/2023,Zone 3
3709,833,SushiPlace,Biryani,,25,Card,2,No,3/16/2023,Zone 1
3521,113,Sushi Place,Taco,200,50,Cash,4,Yes,3/30/2023,Zone 3
4687,110,Pizza Hub,,250,30,Cash,2,No,2/16/2023,Zone 3
2513,373,PizzaHub,,300,20,Card,1,No,3/28/2023,Zone 2
5099,313,Biryani House,Sushi,150,20,Card,1,No,1/2/2023,Zone 3
4331,584,SushiPlace,Pizza,150,40,Wallet,1,No,2/27/2023,Zone 3
5851,106,Sushi Place,Burger,250,30,Wallet,1,No,1/20/2023,Zone 2
4064,165,Tacoland,Biryani,500,40,Cash,2,Yes,2/10/2023,Zone 1
2246,842,BurgerTown,Sushi,250,20,Wallet,1,Yes,3/25/2023,Zone 3
1262,699,Pizzahub,Taco,150,40,Card,2,No,2/6/2023,Zone 1
2111,462,Biryani Hause,Burger,,40,Wallet,6,No,1/16/2023,Zone 1
2038,824,Biryani Hause,Sushi,150,45,Wallet,4,Yes,1/2/2023,Zone 2
3937,244,Biriyani Hause,Sushi,250,40,Wallet,3,Yes,3/20/2023,Zone 1
2222,736,BiryaniHouse,Burger,250,30,Card,5,No,2/6/2023,Zone 1
1438,918,BiryaniHouse,Sushi,300,30,Cash,1,Yes,3/23/2023,Zone 3
3587,734,Pizzahub,Sushi,300,20,Cash,2,No,2/14/2023,Zone 3
3854,507,Sushi Place,,200,40,Cash,,Yes,3/18/2023,Zone 3
5029,198,BiryaniHouse,Biryani,300,30,Wallet,4,No,2/25/2023,Zone 3
2902,633,Taco Land,Burger,500,50,Card,4,Yes,1/6/2023,Zone 3
4914,599,Biryani House,Taco,200,40,Cash,2,No,3/5/2023,Zone 3
1867,300,BurgerTown,Pizza,,50,Wallet,2,No,2/25/2023,Zone 2
4700,738,Pizza Hub,Biryani,300,35,Wallet,4,No,3/9/2023,Zone 3
5195,818,Pizza Hub,Sushi,,,Wallet,2,No,2/11/2023,Zone 2
3241,121,Biryani Hause,Taco,200,45,Cash,3,No,3/8/2023,Zone 2
3863,237,BiryaniHouse,Pizza,150,30,Cash,3,No,2/3/2023,Zone 3
3541,718,Pizzahub,Taco,250,50,Card,5,Yes,3/28/2023,Zone 3
