Order_ID,Customer_ID,Restaurant_Name,Food_Category,Order_Amount,Delivery_Time_Minutes,Payment_Mode,Customer_Rating,Promo_Used,Order_Date,Delivery_Area,Fast_Delivery
4582,102,Pizza Hub,Pizza,358,40,Wallet,3,Yes,1/25/2023,Zone 2,Slow
4454,467,Biryani House,Pizza,285,25,Card,2,No,3/19/2023,Zone 3,Fast
2346,800,Taco Land,Biryani,155,45,Card,1,No,1/17/2023,Zone 1,Slow
5060,461,Biryani House,Burger,400,30,Wallet,3,No,2/24/2023,Zone 3,Fast
2593,240,Biryani House,Biryani,250,45,Wallet,1,Yes,3/19/2023,Zone 1,Slow
1096,851,Pizza Hub,Biryani,155,30,Card,1,No,1/7/2023,Zone 1,Fast
5143,882,Burger Town,Burger,380,45,Cash,1,Yes,1/25/2023,Zone 1,Slow
5169,792,Biryani House,Biryani,255,25,Card,2,No,2/22/2023,Zone 2,Fast
1942,426,Pizza Hub,Pizza,250,20,Cash,4,No,1/23/2023,Zone 2,Fast
1111,654,Pizza Hub,Pizza,250,20,Wallet,5,No,2/12/2023,Zone 3,Fast
4481,600,Sushi Place,Burger,240,40,Wallet,3,No,1/22/2023,Zone 2,Slow
2363,882,Taco Land,Biryani,240,40,Card,2,Yes,3/18/2023,Zone 2,Slow
3894,878,Biryani House,Pizza,350,35,Wallet,3,Yes,2/22/2023,Zone 2,Slow
4325,706,Pizza Hub,Biryani,250,35,Card,2,No,1/20/2023,Zone 1,Slow
2092,422,Burger Town,Biryani,400,40,Cash,1,Yes,3/24/2023,Zone 1,Slow
2847,110,Taco Land,Sushi,250,50,Card,1,No,3/4/2023,Zone 1,Slow
5547,742,Biryani House,Pizza,300,25,Card,2,No,3/28/2023,Zone 3,Fast
3050,573,Taco Land,Pizza,300,45,Wallet,1,No,3/2/2023,Zone 3,Slow
1039,626,Burger Town,Biryani,240,30,Wallet,1,Yes,2/3/2023,Zone 2,Fast
2346,321,Burger Town,Biryani,250,25,Cash,3,No,2/28/2023,Zone 2,Fast
2159,390,Biryani House,Biryani,285,20,Wallet,4,No,1/21/2023,Zone 3,Fast
2897,641,Taco Land,Burger,285,45,Cash,1,No,1/16/2023,Zone 1,Slow
5195,932,Biryani House,Biryani,350,50,Cash,1,Yes,1/9/2023,Zone 3,Slow
3428,922,Biryani House,Burger,300,20,Cash,2,No,2/21/2023,Zone 2,Fast
4252,797,Biryani House,Biryani,285,30,Wallet,1,No,1/1/2023,Zone 3,Fast
2382,507,Taco Land,Pizza,285,20,Wallet,3,No,2/16/2023,Zone 1,Fast
4937,152,Biryani House,Biryani,400,20,Cash,1,No,2/5/2023,Zone 3,Fast
5309,366,Biryani House,Biryani,300,25,Card,1,Yes,1/3/2023,Zone 3,Fast
4702,747,Pizza Hub,Pizza,300,50,Card,1,Yes,3/10/2023,Zone 3,Slow
5958,140,Pizza Hub,Burger,240,30,Cash,2,No,2/12/2023,Zone 2,Fast
3338,236,Taco Land,Burger,300,45,Card,4,No,3/17/2023,Zone 2,Slow
1588,195,Sushi Place,Pizza,240,40,Cash,3,No,2/16/2023,Zone 3,Slow
2704,650,Sushi Place,Sushi,350,30,Card,2,No,2/12/2023,Zone 3,Fast
4971,660,Burger Town,Burger,285,20,Card,1,Yes,3/17/2023,Zone 3,Fast
5202,792,Taco Land,Burger,250,25,Wallet,4,Yes,3/21/2023,Zone 3,Fast
1837,982,Biryani House,Biryani,350,30,Card,3,Yes,1/16/2023,Zone 3,Fast
3624,544,Biryani House,Burger,300,25,Cash,1,Yes,2/24/2023,Zone 1,Fast
5939,690,Burger Town,Burger,400,35,Cash,2,Yes,2/25/2023,Zone 3,Slow
2442,870,Biryani House,Biryani,250,25,Cash,3,No,2/17/2023,Zone 3,Fast
1826,495,Biryani House,Biryani,300,50,Cash,1,No,2/12/2023,Zone 1,Slow
2418,563,Taco Land,Biryani,350,50,Card,3,Yes,1/23/2023,Zone 3,Slow
4862,103,Pizza Hub,Taco,350,30,Wallet,5,No,3/14/2023,Zone 2,Fast
5242,843,Pizza Hub,Biryani,250,20,Wallet,2,Yes,3/24/2023,Zone 2,Fast
5507,520,Sushi Place,Pizza,240,25,Card,3,No,1/14/2023,Zone 1,Fast
2789,258,Pizza Hub,Pizza,350,25,Wallet,4,Yes,2/7/2023,Zone 2,Fast
2389,990,Biryani House,Biryani,400,40,Card,4,No,3/7/2023,Zone 2,Slow
1371,490,Biryani House,Biryani,400,45,Cash,5,No,2/14/2023,Zone 3,Slow
4226,475,Burger Town,Pizza,250,45,Card,2,No,1/29/2023,Zone 1,Slow
3768,781,Burger Town,Taco,400,25,Wallet,4,Yes,1/13/2023,Zone 3,Fast
1390,822,Pizza Hub,Pizza,240,20,Cash,3,Yes,2/27/2023,Zone 1,Fast
1255,624,Biryani House,Taco,240,50,Wallet,3,Yes,1/11/2023,Zone 1,Slow
4316,598,Pizza Hub,Burger,300,20,Card,2,Yes,1/12/2023,Zone 3,Fast
5455,598,Pizza Hub,Sushi,285,50,Wallet,4,No,1/8/2023,Zone 3,Slow
5043,361,Burger Town,Biryani,240,25,Wallet,3,Yes,3/11/2023,Zone 2,Fast
1950,761,Biryani House,Burger,300,45,Card,2,No,3/1/2023,Zone 1,Slow
2153,195,Sushi Place,Pizza,300,45,Card,1,Yes,3/28/2023,Zone 1,Slow
1555,926,Biryani House,Biryani,240,30,Wallet,1,No,1/12/2023,Zone 2,Fast
4258,901,Taco Land,Burger,400,45,Cash,3,Yes,3/3/2023,Zone 2,Slow
2381,637,Burger Town,Pizza,240,45,Card,3,Yes,3/16/2023,Zone 3,Slow
1695,918,Burger Town,Pizza,300,20,Cash,4,No,3/14/2023,Zone 3,Fast
3004,436,Biryani House,Burger,285,35,Cash,2,No,2/2/2023,Zone 2,Slow
2329,605,Biryani House,Biryani,240,50,Wallet,1,No,1/4/2023,Zone 1,Slow
5626,277,Taco Land,Burger,285,15,Wallet,5,Yes,2/1/2023,Zone 3,Fast
4537,429,Sushi Place,Taco,285,50,Cash,2,No,2/14/2023,Zone 3,Slow
2537,526,Sushi Place,Burger,400,25,Card,4,No,2/2/2023,Zone 1,Fast
